vid	vendorname
7393	Amphenol KAE
7420	ANDES TECHNOLOGY CORPORATION
7421	Flextronics Digital Design Japan, LTD.
7432	NINGBO HENTEK DRAGON ELECTRONICS CO., LTD.
7433	TechFaith Wireless Technology Limited
7434	Johnson Controls, Inc. The Automotive Business Unit
7435	HAN HUA CABLE & WIRE TECHNOLOGY (J.X.) CO., LTD.
7444	ALPHA-SAT TECHNOLOGY LIMITED
7455	Diostech Co., Ltd.
7456	SAMTACK INC.
7465	Horng Tong Enterprise Co., Ltd.
7473	XINTRONIX LIMITED
7490	DRAGON JOY LIMITED
7491	Montage Technology, Inc.
7492	Adirondack Digital Imaging Systems, Inc.
7493	Qisda Corporation
7494	nSys Design Systems
7496	Shenzhen XinYonghui Precise Technology Co., Ltd.
7497	SHENZHEN LINKCONN ELECTRONICS CO., LTD.
7501	Pegatron Corporation
7502	INPHI CORPORATION
7503	ADVANCED CHIP EXPRESS INC.
7516	Fresco Logic Inc.
7517	QIXING INDUSTRIAL (HK) CO.
7519	ViVOtech, Inc.
7520	ASLINK (H.K.) PRECISION CO., LTD.
7529	Walta Electronic Co., Ltd.
7530	ARICENT TECHNOLOGIES (HOLDINGS) LTD.
7531	The Linux Foundation
7537	Finisar Corporation
7542	LongCheng Electronic & Communication CO., LTD.
7543	Yueqing Changling Electronic Instrument Corp., Ltd.
7544	CAMBRIDGE SEMICONDUCTOR LTD.
7545	Shenzhen My-Power Technology Co., Ltd.
7546	SHINWA INTERNATIONAL HOLDINGS LTD.
7551	Ecrio
7552	PLDA
7553	YongXin Plastic & Hardware Co., Ltd.
7556	Kechenda Plastic Electronic Factory
7557	NINGBO SHUNSHENG COMMUNICATION APPARATUS CO., LTD.
7564	Wuxi AlphaScale IC Systems, Inc.
7582	CSR, Inc.
7583	KUNMING ELECTRONICS CO., LTD.
7584	Parade Technologies Inc.
7607	SMedia Technology Corporation
7608	HD MEDICAL INC.
7613	Terawins
7614	S.R.N. Corp.
7615	Signostics Pty. Ltd.
7618	Datalogic Mobile Inc.
7628	Document Capture Technologies, Inc.
7629	HIN KUI MACHINE & METAL INDUSTRIAL CO., LTD.
7639	REDMERE TECHNOLOGY
7640	BUFFALO KOKUYO SUPPLY INC.
7641	EFFICERE TECHNOLOGIES
7647	GDA Technologies, Inc.
7648	Shenzhen Excelstor Technology Ltd.
7649	Actions Microelectronics Co., Ltd.
7650	ENTERY INDUSTRIAL CO., LTD.
7651	SHENZHEN REX ELECTRONICS CO., LTD.
7652	DAEWOO ELECTRONICS CORPORATION
7658	Yesin Electronics Technology Co., Ltd.
7659	SHIUH CHI PRECISION INDUSTRY CO., LTD.
7665	HUATIANYUAN ELECTRONIC INDUSTRY CO., LTD.
7666	Telecommunication Metrology Center of MII
7667	CRESYN CO., LTD.
7668	SHEN ZHEN FORMAN PRECISION INDUSTRY CO., LTD.
7682	GLOBEMASTER TECHNOLOGIES CO., LTD.
7687	GETA ELECTRONICS (DONG GUAN) CO., LTD.
7688	Inventure, Inc.
7697	Hoya Xponent
8256	Hauppauge Computer Works, Inc.
7867	+ NuCORE Technology, Inc.
8888	Motorola MDS
8964	Pinnacle Systems GmbH
9224	Catalyst Enterprises, Inc.
14627	National Instruments
16700	Dell Inc.
21930	+ OnSpec Electronic Inc.
25452	CoreLogic, Inc.
32902	Intel Corporation
38672	Moschip Semiconductor Technology
60186	Empia Technology, Inc.
